,Cow,TRT,day,sday,MotionIndex,Steps,LyingTime,LyingBouts,StandingTime,rm?,rmfr
8,11,B+N,2,1,1215,167,14.81222222,26,9.187777778,1,1
38,20,BO,2,1,2634,449,15.00861111,30,8.991388889,1,1
146,54,LIDO,2,2,2544,448,10.94194444,17,13.05805556,1,1
155,57,BO,2,2,1364,189,15.13027778,28,8.869722222,1,1
178,64,LIDO,1,2,1359,153,18.87027778,32,5.129722222,1,1
179,64,LIDO,2,2,1605,241,13.64388889,22,10.35611111,1,1
242,83,B+N,2,3,1690,270,15.66833333,30,8.331666667,1,1
157,58,LIDO,1,2,2275,318,17.19472222,25,6.805277778,1,0
172,62,B+N,1,2,2427,315,17.88305556,18,6.116944444,1,0
181,65,BO,1,3,2224,331,18.88972222,14,5.110277778,1,0
223,78,BO,1,3,1891,249,19.00277778,38,4.997222222,1,0
1,1,LIDO,1,1,1338,146,22.80055556,9,1.199444444,,
2,1,LIDO,2,1,1440,182,20.56083333,17,3.439166667,,
3,1,LIDO,3,1,802,107,14.17361111,11,2.576388889,,
34,2,BO,1,1,2896,504,20.67861111,20,3.321388889,,
35,2,BO,2,1,2885,546,19.19277778,21,4.807222222,,
36,2,BO,3,1,1906,355,13.95444444,14,2.795555556,,
67,3,B+N,1,1,2135,319,20.47888889,16,3.521111111,,
68,3,B+N,2,1,1722,282,20.04833333,18,3.951666667,,
69,3,B+N,3,1,780,130,14.31472222,10,1.935277778,,
97,4,LIDO,1,1,928,117,22.88083333,12,1.119166667,,
98,4,LIDO,2,1,779,116,20.68638889,15,3.313611111,,
99,4,LIDO,3,1,361,45,11.69083333,10,1.559166667,,
130,5,B+N,1,1,467,65,23.15305556,8,0.846944444,,
131,5,B+N,2,1,760,111,20.52777778,13,3.472222222,,
132,5,B+N,3,1,589,86,14.00805556,9,2.241944444,,
163,6,BO,1,1,1633,211,21.72388889,30,2.276111111,,
164,6,BO,2,1,2364,394,21.34527778,28,2.654722222,,
165,6,BO,3,1,1681,302,8.4575,26,7.7925,,
196,7,BO,1,1,1296,185,22.50638889,23,1.493611111,,
197,7,BO,2,1,1189,200,21.67333333,17,2.326666667,,
198,7,BO,3,1,642,103,14.24166667,13,1.758333333,,
229,8,B+N,1,1,2351,361,20.69722222,18,3.302777778,,
