"","Cow","TRT","day","sday","FOO","Egroup","AgeatEnroll","MotionIndex","Steps","LyingTime","LyingBouts","StandingTime"
"1",1,"LIDO",1,1,"MAD",1,16.42,1338,146,22.8005555555556,9,1.19944444444444
"2",1,"LIDO",2,1,"MAD",1,16.42,1440,182,20.5608333333333,17,3.43916666666667
"3",1,"LIDO",3,1,"MAD",1,16.42,802,107,14.1736111111111,11,2.57638888888889
"4",2,"BO",1,1,"MAD",1,35.82,2896,504,20.6786111111111,20,3.32138888888889
"5",2,"BO",2,1,"MAD",1,35.82,2885,546,19.1927777777778,21,4.80722222222222
"6",2,"BO",3,1,"MAD",1,35.82,1906,355,13.9544444444444,14,2.79555555555556
"7",3,"B+N",1,1,"MAD",1,24.97,2135,319,20.4788888888889,16,3.52111111111111
"8",3,"B+N",2,1,"MAD",1,24.97,1722,282,20.0483333333333,18,3.95166666666667
"9",3,"B+N",3,1,"MAD",1,24.97,780,130,14.3147222222222,10,1.93527777777778
"10",4,"LIDO",1,1,"MAD",1,21.37,928,117,22.8808333333333,12,1.11916666666667
"11",4,"LIDO",2,1,"MAD",1,21.37,779,116,20.6863888888889,15,3.31361111111111
"12",4,"LIDO",3,1,"MAD",1,21.37,361,45,11.6908333333333,10,1.55916666666667
"13",5,"B+N",1,1,"MAD",1,22.62,467,65,23.1530555555556,8,0.846944444444444
"14",5,"B+N",2,1,"MAD",1,22.62,760,111,20.5277777777778,13,3.47222222222222
"15",5,"B+N",3,1,"MAD",1,22.62,589,86,14.0080555555556,9,2.24194444444444
"16",6,"BO",1,1,"MAD",1,17.98,1633,211,21.7238888888889,30,2.27611111111111
"17",6,"BO",2,1,"MAD",1,17.98,2364,394,21.3452777777778,28,2.65472222222222
"18",6,"BO",3,1,"MAD",1,17.98,1681,302,8.4575,26,7.7925
"19",7,"BO",1,1,"MAD",1,21.7,1296,185,22.5063888888889,23,1.49361111111111
"20",7,"BO",2,1,"MAD",1,21.7,1189,200,21.6733333333333,17,2.32666666666667
"21",7,"BO",3,1,"MAD",1,21.7,642,103,14.2416666666667,13,1.75833333333333
"22",8,"B+N",1,1,"MAD",1,17.08,2351,361,20.6972222222222,18,3.30277777777778
"23",8,"B+N",2,1,"MAD",1,17.08,1257,215,19.7311111111111,20,4.26888888888889
"24",8,"B+N",3,1,"MAD",1,17.08,675,117,13.9233333333333,12,2.07666666666667
"25",9,"LIDO",1,1,"MAD",1,22.3,701,63,22.5088888888889,10,1.49111111111111
"26",9,"LIDO",2,1,"MAD",1,22.3,649,77,21.1825,17,2.8175
"27",9,"LIDO",3,1,"MAD",1,22.3,367,36,14.4211111111111,12,3.32888888888889
"28",10,"BO",1,1,"MAD",1,14.97,2062,239,19.3102777777778,20,4.68972222222222
"29",10,"BO",2,1,"MAD",1,14.97,949,114,19.4355555555556,16,4.56444444444444
"30",10,"BO",3,1,"MAD",1,14.97,487,66,13.2516666666667,10,2.49833333333333
"31",11,"B+N",1,1,"MAD",1,28.32,1087,147,21.6894444444444,26,2.31055555555556
"32",11,"B+N",2,1,"MAD",1,28.32,1215,167,14.8122222222222,26,9.18777777777778
"33",11,"B+N",3,1,"MAD",1,28.32,367,39,13.595,13,1.655
"34",12,"LIDO",1,1,"MAD",1,37.13,1029,95,22.9961111111111,14,1.00388888888889
"35",12,"LIDO",2,1,"MAD",1,37.13,1034,164,21.2105555555556,14,2.78944444444444
"36",12,"LIDO",3,1,"MAD",1,37.13,428,50,13.3230555555556,11,1.67694444444444
"37",13,"B+N",1,1,"MAD",1,18.95,2023,250,22.7686111111111,15,1.23138888888889
"38",13,"B+N",2,1,"MAD",1,18.95,1750,275,21.5069444444444,18,2.49305555555556
"39",13,"B+N",3,1,"MAD",1,18.95,746,120,14.0102777777778,13,1.23972222222222
"40",14,"BO",1,1,"MAD",1,28.87,1898,353,21.1475,17,2.8525
"41",14,"BO",2,1,"MAD",1,28.87,2402,467,18.8930555555556,15,5.10694444444444
"42",14,"BO",3,1,"MAD",1,28.87,785,124,13.3952777777778,10,2.10472222222222
"43",15,"LIDO",1,1,"MAD",1,32.75,1967,286,21.5508333333333,26,2.44916666666667
"44",15,"LIDO",2,1,"MAD",1,32.75,1696,277,20.2255555555556,24,3.77444444444444
"45",15,"LIDO",3,1,"MAD",1,32.75,533,80,13.8513888888889,12,1.39861111111111
"46",16,"LIDO",1,1,"MAD",1,22.63,784,113,21.5655555555556,15,2.43444444444444
"47",16,"LIDO",2,1,"MAD",1,22.63,1734,297,20.2119444444444,19,3.78805555555556
"48",16,"LIDO",3,1,"MAD",1,22.63,821,146,11.1777777777778,9,2.82222222222222
"49",17,"BO",1,1,"MAD",1,33.05,2042,320,21.0586111111111,16,2.94138888888889
