"","Study ID","FarmID","CalfID","TRT","FOO","Egroup","AgeatEnroll","BWKg","Btime","Bdate","Edate","Etime","TP","HbpremgdL","HbpostmgdL","change","...1","source","ID","EID","Date_PNEU1","Remark_PNEU1","Date_PNEU2","Remark_PNEU2","Date_PNEU3","Remark_PNEU3","Date_SCOURS1","Remark_SCOURS1","Date_SCOURS2","Remark_SCOURS2","Date_BLOAT1","Remark_BLOAT1","Date_BLOAT2","Remark_BLOAT2","Date_DIED1","Remark_DIED1"
"1",29,1409818,409818,"B+N","CAD",1,30.68,35,09:40:00,"6/12/2025","6/13/2025",16:21:00,7.3,14,35,21,12855,"dvcnew_wide",1409818,"USA003295911929",2025-07-18,"RES6X100",2025-07-23,"EXCE-1.5CC",2025-10-05,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",28,1409820,409820,"BO","CAD",1,29.07,37.7,11:11:00,"6/12/2025","6/13/2025",16:15:00,6.8,15,14,-1,12857,"dvcnew_wide",1409820,"USA003295912166",2025-07-29,"RES6X100",2025-08-02,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,2025-07-28,"MIN OIL",2025-07-29,"MIN OIL",2025-08-03,"DIGESTIV"
"3",30,1409821,409821,"LIDO","CAD",1,22.53,40.5,17:55:00,"6/12/2025","6/13/2025",16:27:00,7.2,14,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",55,1409922,409922,"B+N","CAD",2,34.37,40,04:10:00,"6/19/2025","6/20/2025",14:32:00,6.5,14,12,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",49,1409925,409925,"LIDO","CAD",2,29.03,39.5,09:10:00,"6/19/2025","6/20/2025",14:12:00,6.9,11,11,0,12938,"dvcnew_wide",1409925,"USA003297154463",2025-07-22,"RES6X100",2025-07-27,"EXCE-1.5CC",2025-09-25,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",61,1409926,409926,"BO","CAD",2,29.53,47.7,09:20:00,"6/19/2025","6/20/2025",14:52:00,6.9,11,13,2,12939,"dvcnew_wide",1409926,"USA003297154465",2025-09-19,"EXCE-1.5CC",2025-09-19,"RES6X100",2025-09-24,"EXCE-1.5CC",2025-06-28,"ENRO+ELECT",NA,NA,NA,NA,NA,NA,2025-10-19,"INFECTION"
"7",54,1409927,409927,"LIDO","CAD",2,29.13,40.5,09:20:00,"6/19/2025","6/20/2025",14:28:00,7.4,14,14,0,12940,"dvcnew_wide",1409927,"USA003295977945",2025-07-19,"RES6X100",2025-07-28,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",58,1409928,409928,"LIDO","CAD",2,28.4,40.9,10:15:00,"6/19/2025","6/20/2025",14:39:00,6.9,11,51,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",43,1409933,409933,"B+N","CAD",2,21.43,50,16:15:00,"6/19/2025","6/20/2025",13:41:00,6.6,12,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",59,1409935,409935,"BO","CAD",2,20.17,40,18:33:00,"6/19/2025","6/20/2025",14:43:00,6.9,13,13,0,12945,"dvcnew_wide",1409935,"USA003297154467",2025-08-29,"EXCE-1.5CC",2025-09-03,"RES6X100",2025-09-03,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",51,1409937,409937,"BO","CAD",2,18.87,38.6,19:25:00,"6/19/2025","6/20/2025",14:17:00,6.1,10,13,3,12947,"dvcnew_wide",1409937,"USA003297154478",2025-09-25,"RES6X100",2025-10-04,"EXCE-1.5CC",NA,NA,2025-06-29,"ENRO+ELECT",2025-07-01,"ELEC+ADD",2025-09-25,"MIN OIL",NA,NA,NA,NA
"12",2,1431580,431580,"BO","MAD",1,35.82,NA,00:43:00,"6/12/2025","6/13/2025",12:32:00,7,12,15,3,25086,"dvcnew_wide",1431580,"USA003305032987",2025-09-20,"RES6X100",NA,NA,NA,NA,2025-06-13,"EXCENEL IM",2025-06-14,"EXCENEL IM",NA,NA,NA,NA,NA,NA
"13",23,1431581,431581,"B+N","MAD",1,38.12,NA,01:35:00,"6/12/2025","6/13/2025",15:42:00,6.6,11,11,0,25087,"dvcnew_wide",1431581,"USA003305032988",2025-09-24,"RES6X100",2025-09-24,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",17,1431592,431592,"BO","MAD",1,33.05,NA,05:50:00,"6/12/2025","6/13/2025",14:53:00,7.4,13,12,-1,25096,"dvcnew_wide",1431592,"USA003298689868",2025-08-10,"RES6X100",2025-08-15,"EXCE-1.5CC",2025-09-17,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,1431594,431594,"LIDO","MAD",1,32.75,NA,05:55:00,"6/12/2025","6/13/2025",14:40:00,6.2,12,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",21,1431598,431598,"B+N","MAD",1,31.72,NA,07:50:00,"6/12/2025","6/13/2025",15:33:00,6.7,13,11,-2,25100,"dvcnew_wide",1431598,"USA003298689872",2025-10-01,"RES6X100",NA,NA,NA,NA,2025-06-14,"BISMUSOL ORAL",2025-06-15,"BISMUSOL ORAL",NA,NA,NA,NA,2025-10-07,"INFECTION"
"17",14,1431599,431599,"BO","MAD",1,28.87,NA,09:40:00,"6/12/2025","6/13/2025",14:32:00,6.9,14,13,-1,25101,"dvcnew_wide",1431599,"USA003298689877",2025-08-28,"RES6X100",2025-09-02,"EXCE-1.5CC",2025-09-21,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",11,1431600,431600,"B+N","MAD",1,28.32,NA,09:45:00,"6/12/2025","6/13/2025",14:04:00,6.6,13,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",26,1431602,431602,"BO","MAD",1,28.1,44.1,11:58:00,"6/12/2025","6/13/2025",16:04:00,6.3,14,12,-2,25103,"dvcnew_wide",1431602,"USA003305032997",2025-08-18,"RES6X100",2025-08-23,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",3,1431603,431603,"B+N","MAD",1,24.97,44.5,11:45:00,"6/12/2025","6/13/2025",12:43:00,6.5,13,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",12,1431605,431605,"LIDO","MAD",1,37.13,45,01:03:00,"6/12/2025","6/13/2025",14:11:00,6.9,14,14,0,25105,"dvcnew_wide",1431605,"USA003305033010",2025-10-05,"EXCE-1.5CC",2025-10-05,"RES6X100",2025-10-13,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",20,1431608,431608,"BO","MAD",1,25.17,45.5,14:15:00,"6/12/2025","6/13/2025",15:25:00,6.5,13,13,0,25108,"dvcnew_wide",1431608,"USA003305033127",2025-07-21,"RES6X100",2025-07-27,"EXCE-1.5CC",2025-09-01,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,2025-09-14,"INFECTION"
"23",19,1431610,431610,"LIDO","MAD",1,24.93,35,14:20:00,"6/12/2025","6/13/2025",15:16:00,6.5,13,11,-2,25110,"dvcnew_wide",1431610,"USA003305033126",2025-09-15,"RES6X100",NA,NA,NA,NA,2025-06-14,"BISMUSOL ORAL",2025-06-15,"BISMUSOL ORAL",NA,NA,NA,NA,NA,NA
"24",5,1431611,431611,"B+N","MAD",1,22.62,34.5,14:22:00,"6/12/2025","6/13/2025",12:59:00,6.5,10,11,1,25111,"dvcnew_wide",1431611,"USA003305032283",NA,NA,NA,NA,NA,NA,2025-06-24,"ENRO+ELECT",NA,NA,NA,NA,NA,NA,NA,NA
