"","Study ID","CalfID","TRT","FOO","Egroup","AgeatEnroll","BWKg","Btime","Bdate","Edate","Etime","TP","HbpremgdL","HbpostmgdL","change","Date_PNEU1","Remark_PNEU1","Date_PNEU2","Remark_PNEU2","Date_PNEU3","Remark_PNEU3","Date_SCOURS1","Remark_SCOURS1","Date_SCOURS2","Remark_SCOURS2","Date_BLOAT1","Remark_BLOAT1","Date_BLOAT2","Remark_BLOAT2","Date_DIED1","Remark_DIED1","BIRTH","ENROLL","dfeP1","dbtwP12","dbtwP23","dfeP2","dfeP3","dfeD1","dfeD2","dbtwD12","dfeDIED","PN1a","PN2","PN3","DIA1","DIA2","DIED","PN2a","Date_PN1a","Date_PN2a"
"1",29,409818,"B+N","CAD",1,30.68,35,09:40:00,"6/12/2025","6/13/2025",16:21:00,7.3,14,35,21,2025-07-18,"RES6X100",2025-07-23,"EXCE-1.5CC",2025-10-05,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-12,2025-06-13,35,5,74,40,114,NA,NA,NA,NA,1,1,1,0,0,0,1,2025-07-18,2025-10-05
"2",28,409820,"BO","CAD",1,29.07,37.7,11:11:00,"6/12/2025","6/13/2025",16:15:00,6.8,15,14,-1,2025-07-29,"RES6X100",2025-08-02,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,2025-07-28,"MIN OIL",2025-07-29,"MIN OIL",2025-08-03,"DIGESTIV",2025-06-12,2025-06-13,46,4,NA,50,NA,NA,NA,NA,51,1,1,0,0,0,1,0,2025-07-29,NA
"3",30,409821,"LIDO","CAD",1,22.53,40.5,17:55:00,"6/12/2025","6/13/2025",16:27:00,7.2,14,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-12,2025-06-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA
"4",55,409922,"B+N","CAD",2,34.37,40,04:10:00,"6/19/2025","6/20/2025",14:32:00,6.5,14,12,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-19,2025-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA
"5",49,409925,"LIDO","CAD",2,29.03,39.5,09:10:00,"6/19/2025","6/20/2025",14:12:00,6.9,11,11,0,2025-07-22,"RES6X100",2025-07-27,"EXCE-1.5CC",2025-09-25,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-19,2025-06-20,32,5,60,37,97,NA,NA,NA,NA,1,1,1,0,0,0,1,2025-07-22,2025-09-25
"6",61,409926,"BO","CAD",2,29.53,47.7,09:20:00,"6/19/2025","6/20/2025",14:52:00,6.9,11,13,2,2025-09-19,"EXCE-1.5CC",2025-09-19,"RES6X100",2025-09-24,"EXCE-1.5CC",2025-06-28,"ENRO+ELECT",NA,NA,NA,NA,NA,NA,2025-10-19,"INFECTION",2025-06-19,2025-06-20,91,0,5,91,96,8,NA,NA,121,1,1,1,1,0,1,0,2025-09-19,NA
"7",54,409927,"LIDO","CAD",2,29.13,40.5,09:20:00,"6/19/2025","6/20/2025",14:28:00,7.4,14,14,0,2025-07-19,"RES6X100",2025-07-28,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-19,2025-06-20,29,9,NA,38,NA,NA,NA,NA,NA,1,1,0,0,0,0,1,2025-07-19,2025-07-28
"8",58,409928,"LIDO","CAD",2,28.4,40.9,10:15:00,"6/19/2025","6/20/2025",14:39:00,6.9,11,51,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-19,2025-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA
"9",43,409933,"B+N","CAD",2,21.43,50,16:15:00,"6/19/2025","6/20/2025",13:41:00,6.6,12,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-19,2025-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA
"10",59,409935,"BO","CAD",2,20.17,40,18:33:00,"6/19/2025","6/20/2025",14:43:00,6.9,13,13,0,2025-08-29,"EXCE-1.5CC",2025-09-03,"RES6X100",2025-09-03,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-19,2025-06-20,70,5,0,75,75,NA,NA,NA,NA,1,1,1,0,0,0,0,2025-08-29,NA
"11",51,409937,"BO","CAD",2,18.87,38.6,19:25:00,"6/19/2025","6/20/2025",14:17:00,6.1,10,13,3,2025-09-25,"RES6X100",2025-10-04,"EXCE-1.5CC",NA,NA,2025-06-29,"ENRO+ELECT",2025-07-01,"ELEC+ADD",2025-09-25,"MIN OIL",NA,NA,NA,NA,2025-06-19,2025-06-20,97,9,NA,106,NA,9,11,2,NA,1,1,0,1,1,0,1,2025-09-25,2025-10-04
"12",2,431580,"BO","MAD",1,35.82,NA,00:43:00,"6/12/2025","6/13/2025",12:32:00,7,12,15,3,2025-09-20,"RES6X100",NA,NA,NA,NA,2025-06-13,"EXCENEL IM",2025-06-14,"EXCENEL IM",NA,NA,NA,NA,NA,NA,2025-06-12,2025-06-13,99,NA,NA,NA,NA,0,1,1,NA,1,0,0,1,1,0,0,2025-09-20,NA
"13",23,431581,"B+N","MAD",1,38.12,NA,01:35:00,"6/12/2025","6/13/2025",15:42:00,6.6,11,11,0,2025-09-24,"RES6X100",2025-09-24,"EXCE-1.5CC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-12,2025-06-13,103,0,NA,103,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,2025-09-24,NA
"14",17,431592,"BO","MAD",1,33.05,NA,05:50:00,"6/12/2025","6/13/2025",14:53:00,7.4,13,12,-1,2025-08-10,"RES6X100",2025-08-15,"EXCE-1.5CC",2025-09-17,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-12,2025-06-13,58,5,33,63,96,NA,NA,NA,NA,1,1,1,0,0,0,1,2025-08-10,2025-09-17
"15",15,431594,"LIDO","MAD",1,32.75,NA,05:55:00,"6/12/2025","6/13/2025",14:40:00,6.2,12,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-12,2025-06-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA
"16",21,431598,"B+N","MAD",1,31.72,NA,07:50:00,"6/12/2025","6/13/2025",15:33:00,6.7,13,11,-2,2025-10-01,"RES6X100",NA,NA,NA,NA,2025-06-14,"BISMUSOL ORAL",2025-06-15,"BISMUSOL ORAL",NA,NA,NA,NA,2025-10-07,"INFECTION",2025-06-12,2025-06-13,110,NA,NA,NA,NA,1,2,1,116,1,0,0,1,1,1,0,2025-10-01,NA
"17",14,431599,"BO","MAD",1,28.87,NA,09:40:00,"6/12/2025","6/13/2025",14:32:00,6.9,14,13,-1,2025-08-28,"RES6X100",2025-09-02,"EXCE-1.5CC",2025-09-21,"RES6X100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-12,2025-06-13,76,5,19,81,100,NA,NA,NA,NA,1,1,1,0,0,0,1,2025-08-28,2025-09-21
"18",11,431600,"B+N","MAD",1,28.32,NA,09:45:00,"6/12/2025","6/13/2025",14:04:00,6.6,13,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-06-12,2025-06-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA
