"","Cow","TRT","hour","sday","MotionIndex","Steps","LyingTime","LyingBouts","StandingTime"
"1",1,"LIDO",1,1,176,23,55.9833333333333,0,4.01666666666667
"2",1,"LIDO",2,1,41,0,60,0,0
"3",1,"LIDO",3,1,6,0,60,0,0
"4",1,"LIDO",4,1,0,0,60,0,0
"5",1,"LIDO",5,1,0,0,60,0,0
"6",1,"LIDO",6,1,0,0,60,0,0
"7",1,"LIDO",7,1,2,0,60,0,0
"8",1,"LIDO",8,1,10,0,60,0,0
"9",1,"LIDO",9,1,14,0,60,0,0
"10",1,"LIDO",10,1,17,0,60,0,0
"11",1,"LIDO",11,1,40,0,60,0,0
"12",1,"LIDO",12,1,8,0,60,0,0
"13",1,"LIDO",13,1,62,0,60,0,0
"14",1,"LIDO",14,1,1,0,60,0,0
"15",1,"LIDO",15,1,3,0,60,0,0
"16",1,"LIDO",16,1,21,0,60,0,0
"17",1,"LIDO",17,1,53,0,60,0,0
"18",1,"LIDO",18,1,10,0,60,0,0
"19",1,"LIDO",19,1,300,55,44.5,3,15.5
"20",1,"LIDO",20,1,70,13,60,0,0
"21",1,"LIDO",21,1,77,7,52.9833333333333,1,7.01666666666667
"22",1,"LIDO",22,1,10,0,53.55,2,6.45
"23",1,"LIDO",23,1,269,32,46.1166666666667,1,13.8833333333333
"24",1,"LIDO",24,1,148,16,34.9,2,25.1
"25",1,"LIDO",25,1,60,6,56.3,1,3.7
"26",1,"LIDO",26,1,102,12,43.5833333333333,1,16.4166666666667
"27",1,"LIDO",27,1,39,2,54.9166666666667,1,5.08333333333333
"28",1,"LIDO",28,1,69,5,55.2166666666667,1,4.78333333333333
"29",1,"LIDO",29,1,45,2,54.25,1,5.75
"30",1,"LIDO",30,1,35,0,60,0,0
"31",1,"LIDO",31,1,51,4,54.4333333333333,1,5.56666666666667
"32",1,"LIDO",32,1,52,4,51.5,1,8.5
"33",1,"LIDO",33,1,8,1,57.5666666666667,1,2.43333333333333
"34",1,"LIDO",34,1,1,0,60,0,0
"35",1,"LIDO",35,1,4,0,60,0,0
"36",1,"LIDO",36,1,9,0,60,0,0
"37",1,"LIDO",37,1,93,8,48.3666666666667,1,11.6333333333333
"38",1,"LIDO",38,1,54,7,51.0166666666667,1,8.98333333333333
"39",1,"LIDO",39,1,1,0,60,0,0
"40",1,"LIDO",40,1,56,5,55.9,1,4.1
"41",1,"LIDO",41,1,124,19,37.7666666666667,1,22.2333333333333
"42",1,"LIDO",42,1,0,0,60,0,0
"43",1,"LIDO",43,1,46,6,43.25,1,16.75
"44",1,"LIDO",44,1,314,59,21.8666666666667,1,38.1333333333333
"45",1,"LIDO",45,1,86,13,39.85,1,20.15
"46",1,"LIDO",46,1,84,9,46.3333333333333,1,13.6666666666667
"47",1,"LIDO",47,1,106,20,41.5333333333333,1,18.4666666666667
"48",1,"LIDO",48,1,1,0,60,0,0
"49",1,"LIDO",49,1,63,7,42.05,1,17.95
"50",1,"LIDO",50,1,149,31,31.8166666666667,1,28.1833333333333
"51",1,"LIDO",51,1,94,15,36.6833333333333,1,23.3166666666667
"52",1,"LIDO",52,1,75,10,44.1666666666667,1,15.8333333333333
"53",1,"LIDO",53,1,38,3,49.7166666666667,1,10.2833333333333
"54",1,"LIDO",54,1,27,0,60,0,0
"55",1,"LIDO",55,1,55,9,51.5333333333333,1,8.46666666666667
"56",1,"LIDO",56,1,22,1,55.0166666666667,1,4.98333333333333
"57",1,"LIDO",57,1,43,7,49.1166666666667,0,10.8833333333333
"58",1,"LIDO",58,1,0,0,60,0,0
"59",1,"LIDO",59,1,62,7,51.7166666666667,1,8.28333333333333
"60",1,"LIDO",60,1,0,0,60,0,0
"61",1,"LIDO",61,1,1,0,60,0,0
"62",1,"LIDO",62,1,29,2,53.75,1,6.25
"63",1,"LIDO",63,1,41,1,50.4166666666667,1,9.58333333333333
"64",1,"LIDO",64,1,3,0,60,0,0
"65",1,"LIDO",65,1,100,14,34.4333333333333,1,10.5666666666667
"66",10,"BO",1,1,593,83,37.7166666666667,3,22.2833333333333
"67",10,"BO",2,1,156,0,60,0,0
"68",10,"BO",3,1,35,0,60,0,0
"69",10,"BO",4,1,12,0,60,0,0
"70",10,"BO",5,1,1,0,60,0,0
"71",10,"BO",6,1,15,0,60,0,0
"72",10,"BO",7,1,125,14,46.7333333333333,1,13.2666666666667
"73",10,"BO",8,1,24,4,60,0,0
"74",10,"BO",9,1,33,0,60,0,0
"75",10,"BO",10,1,8,0,60,0,0
"76",10,"BO",11,1,119,14,39.05,1,20.95
"77",10,"BO",12,1,16,0,60,0,0
"78",10,"BO",13,1,34,3,39.25,1,20.75
"79",10,"BO",14,1,49,6,53.9166666666667,0,6.08333333333333
"80",10,"BO",15,1,50,5,44.9833333333333,1,15.0166666666667
"81",10,"BO",16,1,52,4,42.6333333333333,2,17.3666666666667
"82",10,"BO",17,1,108,9,23.4333333333333,2,36.5666666666667
"83",10,"BO",18,1,237,44,27.35,1,32.65
"84",10,"BO",19,1,30,4,45.45,1,14.55
"85",10,"BO",20,1,57,7,53.5833333333333,0,6.41666666666667
"86",10,"BO",21,1,122,19,33.6,2,26.4
"87",10,"BO",22,1,31,4,53.4666666666667,1,6.53333333333333
"88",10,"BO",23,1,61,5,40.5,2,19.5
"89",10,"BO",24,1,94,14,36.95,2,23.05
"90",10,"BO",25,1,0,0,60,0,0
"91",10,"BO",26,1,1,0,60,0,0
"92",10,"BO",27,1,43,7,46.65,1,13.35
"93",10,"BO",28,1,1,0,60,0,0
"94",10,"BO",29,1,41,2,44.9,1,15.1
"95",10,"BO",30,1,109,11,33.1333333333333,2,26.8666666666667
"96",10,"BO",31,1,24,1,46.8666666666667,1,13.1333333333333
"97",10,"BO",32,1,6,0,60,0,0
"98",10,"BO",33,1,1,0,60,0,0
"99",10,"BO",34,1,14,0,60,0,0
"100",10,"BO",35,1,46,9,43.1833333333333,1,16.8166666666667
"101",10,"BO",36,1,4,0,60,0,0
"102",10,"BO",37,1,37,1,46.1333333333333,1,13.8666666666667
"103",10,"BO",38,1,77,8,38.3,1,21.7
"104",10,"BO",39,1,28,2,49.8,1,10.2
"105",10,"BO",40,1,62,9,6.7,0,53.3
"106",10,"BO",41,1,3,0,60,0,0
"107",10,"BO",42,1,156,23,27.45,2,32.55
"108",10,"BO",43,1,106,20,37.1,0,22.9
"109",10,"BO",44,1,29,6,54.1833333333333,1,5.81666666666667
"110",10,"BO",45,1,26,1,52.7333333333333,1,7.26666666666667
"111",10,"BO",46,1,62,6,51.5,1,8.5
"112",10,"BO",47,1,37,4,51.5833333333333,1,8.41666666666667
